release_id,phase_name,round_number,collected_at,metric_key,metric_name,value,threshold,unit,is_breach,snapshot_has_breach
180ecf26c27f,非核心园区-室外区域,1,2026-06-20T14:05:42.688009,entry_failure_rate,入园失败率,4.48,5.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,1,2026-06-20T14:05:42.688009,dock_conflict_rate,月台冲突率,2.25,3.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,1,2026-06-20T14:05:42.688009,device_offline_rate,设备离线率,1.31,2.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,2,2026-06-20T14:05:44.688969,entry_failure_rate,入园失败率,1.93,5.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,2,2026-06-20T14:05:44.688969,dock_conflict_rate,月台冲突率,2.5,3.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,2,2026-06-20T14:05:44.688969,device_offline_rate,设备离线率,0.92,2.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,3,2026-06-20T14:05:46.690123,entry_failure_rate,入园失败率,3.04,5.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,3,2026-06-20T14:05:46.690123,dock_conflict_rate,月台冲突率,1.11,3.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,3,2026-06-20T14:05:46.690123,device_offline_rate,设备离线率,0.83,2.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,4,2026-06-20T14:05:48.692096,entry_failure_rate,入园失败率,1.15,5.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,4,2026-06-20T14:05:48.692096,dock_conflict_rate,月台冲突率,1.7,3.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,4,2026-06-20T14:05:48.692096,device_offline_rate,设备离线率,1.32,2.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,5,2026-06-20T14:05:50.694680,entry_failure_rate,入园失败率,1.19,5.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,5,2026-06-20T14:05:50.694680,dock_conflict_rate,月台冲突率,1.43,3.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,5,2026-06-20T14:05:50.694680,device_offline_rate,设备离线率,1.21,2.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,6,2026-06-20T14:05:52.696922,entry_failure_rate,入园失败率,3.63,5.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,6,2026-06-20T14:05:52.696922,dock_conflict_rate,月台冲突率,0.49,3.0,percent,False,False
180ecf26c27f,非核心园区-室外区域,6,2026-06-20T14:05:52.696922,device_offline_rate,设备离线率,0.41,2.0,percent,False,False
180ecf26c27f,非核心园区-全区域,1,2026-06-20T14:05:52.699657,entry_failure_rate,入园失败率,3.89,5.0,percent,False,False
180ecf26c27f,非核心园区-全区域,1,2026-06-20T14:05:52.699657,dock_conflict_rate,月台冲突率,1.49,3.0,percent,False,False
180ecf26c27f,非核心园区-全区域,1,2026-06-20T14:05:52.699657,device_offline_rate,设备离线率,1.75,2.0,percent,False,False
180ecf26c27f,非核心园区-全区域,2,2026-06-20T14:05:54.700891,entry_failure_rate,入园失败率,0.26,5.0,percent,False,False
180ecf26c27f,非核心园区-全区域,2,2026-06-20T14:05:54.700891,dock_conflict_rate,月台冲突率,1.16,3.0,percent,False,False
180ecf26c27f,非核心园区-全区域,2,2026-06-20T14:05:54.700891,device_offline_rate,设备离线率,1.63,2.0,percent,False,False
180ecf26c27f,非核心园区-全区域,3,2026-06-20T14:05:56.703074,entry_failure_rate,入园失败率,0.19,5.0,percent,False,False
180ecf26c27f,非核心园区-全区域,3,2026-06-20T14:05:56.703074,dock_conflict_rate,月台冲突率,1.5,3.0,percent,False,False
180ecf26c27f,非核心园区-全区域,3,2026-06-20T14:05:56.703074,device_offline_rate,设备离线率,1.76,2.0,percent,False,False
